[4.88-6.88] 大家好 欢迎回到LeapTV
[6.88-8.88] 报款短剧制作的第八节课
[8.88-10.88] 最近看了很多AI精品漫剧
[10.88-12.88] 我发现了一个很大的问题
[12.88-14.88] 这些漫剧有一个共同点
[14.88-16.88] 就是人物表情僵硬的像木头人
[16.88-18.88] 喜怒哀乐全一个样
[18.88-20.88] 打斗戏没杀气
[20.88-22.88] 对手戏没情绪
[22.88-24.88] 高光时刻没感染力
[24.88-26.88] 看着就非常出戏
[26.88-28.88] 今天这节课咱们就把AI人物
[28.88-30.88] 真实表情精准控制这个痛点
[30.88-32.88] 彻底砸透 全程没有一句废话
[32.88-34.88] 落地的时操干货
[34.88-36.88] 以及经过上百次验证的
[36.88-38.88] 万能提示词模板
[38.88-40.88] 先从最基础最常用的方法讲起
[40.88-42.88] 适合80%的普通对话
[42.88-44.88] 常规情绪场景
[44.88-46.88] 这个方法的核心原理非常简单
[46.88-48.88] 把笼统的情绪词
[48.88-50.88] 拆解成眼睛 眉毛 嘴巴
[50.88-52.88] 面部肌肉
[52.88-54.88] 四个部位的具体细节描述
[54.88-56.88] 不要直写生气
[56.88-58.88] 高兴这种笼统的词语
[58.88-60.88] AI就能100%还原你想要的情绪
[60.88-62.88] 西游短剧里最常用的
[62.88-64.88] 四种核心情绪都拆解成了
[64.88-66.88] 可直接套用的提示词
[66.88-68.88] 片段直接抄就行
[68.88-70.88] 这是单人物基础表情
[70.88-72.88] 万能提示词模板
[72.88-74.88] 直接套用到西游村庄小路的
[74.88-76.88] 对峙场景里
[76.88-78.88] 主角是孙悟空和高翠兰
[78.88-80.88] 先写孙悟空的愤怒表情
[80.88-82.88] 再写高翠兰的冷俊嘲讽表情
[82.88-84.88] 贴合战神人设
[84.88-86.88] 最后还可以加上背景的珠巴界
[86.88-88.88] 哪怕是配角也不能面贪
[88.88-90.88] 这里有两个关键技巧一定要记住
[90.88-92.88] 第一表情永远和动作台词绑定
[92.88-94.88] 人物放狠话就加咬牙切齿
[94.88-96.88] 人物嘲讽就加嘴角协调
[96.88-98.88] 人物正经说话就加嘴巴为章
[98.88-100.88] 不能动作和表情互相拖劫
[100.88-102.88] 第二不同景别表情幅度不一样
[102.88-104.88] 圆景全景表情幅度要放大
[104.88-106.88] 不然观众看不清
[106.88-108.88] 静景特写表情要细腻
[108.88-110.88] 添加毛孔
[110.88-112.88] 细纹这类细节不然画面会显得虚假
[112.88-114.88] 真正能拉开你和同行差距的
